timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627581247933,224,HTTP Request Poster Img,200,OK,Thread Group 1-50,bin,true,,80733,163,47,47,http://sustentable-poster-pre.flow.com.ar/img/default/10007206.jpg,90,0,61
1627581247924,236,HTTP Request Poster Img,200,OK,Thread Group 1-25,bin,true,,80733,163,46,46,http://sustentable-poster-pre.flow.com.ar/img/default/10007206.jpg,101,0,64
1627581247933,235,HTTP Request Poster Img,200,OK,Thread Group 1-37,bin,true,,140157,163,45,45,http://sustentable-poster-pre.flow.com.ar/img/default/10009797.jpg,86,0,55
1627581247924,254,HTTP Request Poster Img,200,OK,Thread Group 1-32,bin,true,,140157,163,44,44,http://sustentable-poster-pre.flow.com.ar/img/default/10009797.jpg,95,0,63
1627581247924,257,HTTP Request Poster Img,200,OK,Thread Group 1-23,bin,true,,140157,163,43,43,http://sustentable-poster-pre.flow.com.ar/img/default/10009797.jpg,100,0,64
1627581247934,310,HTTP Request Poster Img,200,OK,Thread Group 1-17,bin,true,,140157,163,42,42,http://sustentable-poster-pre.flow.com.ar/img/default/10009797.jpg,91,0,60
1627581247926,333,HTTP Request Poster Img,200,OK,Thread Group 1-27,bin,true,,262300,163,41,41,http://sustentable-poster-pre.flow.com.ar/img/default/10009493.jpg,93,0,62
1627581247924,337,HTTP Request Poster Img,200,OK,Thread Group 1-36,bin,true,,262300,163,40,40,http://sustentable-poster-pre.flow.com.ar/img/default/10009493.jpg,96,0,56
1627581247934,327,HTTP Request Poster Img,200,OK,Thread Group 1-7,bin,true,,249048,163,40,40,http://sustentable-poster-pre.flow.com.ar/img/default/10009534.jpg,85,0,53
1627581247924,340,HTTP Request Poster Img,200,OK,Thread Group 1-4,bin,true,,249048,163,38,38,http://sustentable-poster-pre.flow.com.ar/img/default/10009534.jpg,95,0,56
1627581247924,347,HTTP Request Poster Img,200,OK,Thread Group 1-34,bin,true,,255880,163,37,37,http://sustentable-poster-pre.flow.com.ar/img/default/10010188.jpg,95,0,63
1627581247933,356,HTTP Request Poster Img,200,OK,Thread Group 1-1,bin,true,,262300,163,36,36,http://sustentable-poster-pre.flow.com.ar/img/default/10009493.jpg,86,0,54
1627581247929,360,HTTP Request Poster Img,200,OK,Thread Group 1-49,bin,true,,255880,163,36,36,http://sustentable-poster-pre.flow.com.ar/img/default/10010188.jpg,90,0,51
1627581247934,359,HTTP Request Poster Img,200,OK,Thread Group 1-48,bin,true,,262300,163,34,34,http://sustentable-poster-pre.flow.com.ar/img/default/10009493.jpg,85,0,60
1627581247932,362,HTTP Request Poster Img,200,OK,Thread Group 1-38,bin,true,,262300,163,33,33,http://sustentable-poster-pre.flow.com.ar/img/default/10009493.jpg,93,0,62
1627581247934,361,HTTP Request Poster Img,200,OK,Thread Group 1-19,bin,true,,249048,163,32,32,http://sustentable-poster-pre.flow.com.ar/img/default/10009534.jpg,91,0,60
1627581247924,373,HTTP Request Poster Img,200,OK,Thread Group 1-39,bin,true,,249048,163,31,31,http://sustentable-poster-pre.flow.com.ar/img/default/10009534.jpg,95,0,71
1627581247924,375,HTTP Request Poster Img,200,OK,Thread Group 1-5,bin,true,,283840,163,30,30,http://sustentable-poster-pre.flow.com.ar/img/default/10000509.jpg,95,0,70
1627581247929,371,HTTP Request Poster Img,200,OK,Thread Group 1-16,bin,true,,255880,163,29,29,http://sustentable-poster-pre.flow.com.ar/img/default/10010188.jpg,90,0,51
1627581247932,375,HTTP Request Poster Img,200,OK,Thread Group 1-35,bin,true,,306106,163,28,28,http://sustentable-poster-pre.flow.com.ar/img/default/10009487.jpg,87,0,48
1627581247934,376,HTTP Request Poster Img,200,OK,Thread Group 1-26,bin,true,,255880,163,27,27,http://sustentable-poster-pre.flow.com.ar/img/default/10010188.jpg,90,0,60
1627581247930,380,HTTP Request Poster Img,200,OK,Thread Group 1-18,bin,true,,283840,163,27,27,http://sustentable-poster-pre.flow.com.ar/img/default/10000509.jpg,93,0,64
1627581247930,380,HTTP Request Poster Img,200,OK,Thread Group 1-2,bin,true,,283840,163,27,27,http://sustentable-poster-pre.flow.com.ar/img/default/10000509.jpg,90,0,50
1627581247934,381,HTTP Request Poster Img,200,OK,Thread Group 1-46,bin,true,,283840,163,24,24,http://sustentable-poster-pre.flow.com.ar/img/default/10000509.jpg,89,0,60
1627581247930,385,HTTP Request Poster Img,200,OK,Thread Group 1-41,bin,true,,283840,163,24,24,http://sustentable-poster-pre.flow.com.ar/img/default/10000509.jpg,95,0,64
1627581247932,386,HTTP Request Poster Img,200,OK,Thread Group 1-8,bin,true,,306106,163,22,22,http://sustentable-poster-pre.flow.com.ar/img/default/10009487.jpg,88,0,55
1627581247933,393,HTTP Request Poster Img,200,OK,Thread Group 1-31,bin,true,,255880,163,21,21,http://sustentable-poster-pre.flow.com.ar/img/default/10010188.jpg,92,0,61
1627581247926,401,HTTP Request Poster Img,200,OK,Thread Group 1-13,bin,true,,425075,163,20,20,http://sustentable-poster-pre.flow.com.ar/img/default/10002510.jpg,92,0,54
1627581247924,408,HTTP Request Poster Img,200,OK,Thread Group 1-6,bin,true,,249048,163,19,19,http://sustentable-poster-pre.flow.com.ar/img/default/10009534.jpg,101,0,70
1627581247934,398,HTTP Request Poster Img,200,OK,Thread Group 1-43,bin,true,,369044,163,19,19,http://sustentable-poster-pre.flow.com.ar/img/default/10003385.jpg,85,0,54
1627581247932,403,HTTP Request Poster Img,200,OK,Thread Group 1-20,bin,true,,369044,163,17,17,http://sustentable-poster-pre.flow.com.ar/img/default/10003385.jpg,92,0,62
